	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298291_1 - Adapter 1	3819650	1223270	252088	67711	29260	14906	2576	1219	1867	1126	1671	836	630	611	642	633	618	529	417	466	449	480	390	377	373	389	359	385	372	343	287	300	243	268	218	191	219	248	203	231	268	139	177	105	125	242	125	115	95	98	99	121	119	79	71	93	102	86	93	91	107	183	230	132	132	182	289	395	1028	834	733	496	340	116	49	27	38	30	23	25	15	26	28	22	12	22	28	12	18	12	20	22	8	6	15	9	51	14	12	51
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298291_2 - Adapter 1	3668189	1202775	234785	65348	28519	14017	2607	1209	1748	1223	1648	921	614	786	541	627	750	373	471	512	240	426	440	520	364	550	352	489	245	598	87	261	150	146	172	183	192	200	195	168	191	228	119	150	152	200	109	101	80	114	116	83	73	66	69	68	72	90	83	64	81	128	261	589	1034	509	84	41	18	14	16	25	19	18	17	20	20	21	18	11	20	29	17	15	8	9	26	11	8	10	11	19	7	2	10	8	34	3	11	6
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298292_1 - Adapter 1	4454088	1267782	283704	68946	26737	10469	2872	1574	1805	1579	1548	1102	912	848	882	817	897	958	619	624	652	640	648	645	585	570	631	631	643	667	477	477	464	660	655	556	578	682	641	710	870	511	441	425	536	810	554	526	527	506	695	838	796	510	477	761	762	924	1110	1034	1001	1651	2743	3222	1594	2052	2344	3814	6819	9843	6495	6040	3698	2076	537	157	105	74	46	33	31	34	54	36	21	32	38	44	38	29	33	39	26	36	35	24	70	19	20	80
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298292_2 - Adapter 1	4302531	1244352	265829	66859	25924	10193	3037	1676	2042	1783	1669	1269	1104	1271	802	942	1214	645	835	711	367	608	761	1112	571	907	673	870	593	1237	195	433	294	340	406	414	447	565	601	573	722	1143	339	752	849	536	508	430	439	750	932	542	301	590	667	577	712	1488	1050	1355	1518	2648	7319	10828	15999	8111	1320	477	186	64	38	43	39	41	24	19	54	35	31	32	29	34	35	34	22	29	36	35	32	31	30	22	21	19	23	17	60	7	7	7
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298293_1 - Adapter 1	5789661	1630549	393127	84573	43451	11746	2801	1420	1812	1358	1524	1036	866	841	932	884	980	947	689	789	782	691	722	708	774	660	798	882	822	848	671	694	887	927	869	735	765	1227	968	1235	1414	779	516	449	880	982	743	693	746	698	965	1115	1325	724	721	971	1101	1222	1579	1373	1515	2395	3864	4546	2771	3153	4102	6279	11324	15498	10902	9407	5848	3234	860	275	188	95	74	74	53	68	48	37	44	32	55	46	48	60	56	57	34	38	58	72	91	40	42	206
